,source_id,EPIC,ra,dec,G,G_err,bp,bp_err,rp,rp_err,parallax,parallax_err,[RSP2011],HIP,RAJ2000,DEJ2000,2MASS,Kpmag,Mass,Bin,Ap,lc,IPer,IPw,I99.9,Q,mPer,use,K2Per,K2Pw,Amp,Ng,Bl,Lit,Binary,RA_deg,DE_deg,prot
0,38329666836450304,210365286,59.56042372775033,12.627970698425889,15.111156,0.002,17.014067,0.2,13.799521,0.01,21.94614820383863,0.10251905075692777,  104,     ,03 58 14.3,+12 37 40.8,03581434+1237408,14.1,    0.17,0,5.0,det,0.8686,0.2837,0.0096,0,N,corr,    0.8686,    0.3102,0.0028255,Y,Y,0,,59.55958333333333,12.628,0.8686
1,3304478125929665152,210371851,62.77738074084248,12.796658123009877,16.54054,0.002,18.953999,0.2,15.11915,0.01,23.04142845292586,0.12735972293840772,     ,     ,04 11 06.4,+12 47 48.2,04110642+1247481,14.92,    0.14,0,5.0,raw,37.592,0.1587,0.0089,1,Y,sec ,    0.8968,    0.1551,0.00655,N,N,0,,62.776666666666664,12.796722222222222,0.8968
5,3311464182294287104,210451321,64.48199616948583,14.546191599164752,13.771758,0.002,15.280359,0.01,12.565312,0.002,19.063231502443852,0.0738104395210779,  210,     ,04 17 55.5,+14 32 46.5,04175555+1432464,13.86,    0.30,0,4.0,det,10.1182,0.7765,0.0085,0,N,corr,   10.1182,    0.8654,0.0095905,Y,N,0,,64.48124999999999,14.54625,10.1182
6,3311102820926310784,210459199,65.39668022047789,14.69515656171164,14.314161,0.002,15.956227,0.01,13.073628,0.01,20.28981925143624,0.07632174988677534,  247,     ,04 21 35.0,+14 41 42.8,04213508+1441427,14.43,    0.22,0,3.0,det,3.6419,0.0549,0.0104,0,N,corr,    3.6375,    0.4464,0.019108,Y,M,0,,65.39583333333331,14.695222222222222,3.6375
7,3311906770084019712,210470484,64.36772711736377,14.90098569965624,13.276046,0.002,14.70091,0.01,12.105038,0.002,20.192264884167965,0.05278972737384675,  203,     ,04 17 28.1,+14 54 03.8,04172811+1454038,13.33,    0.36,0,2.0,det,2.3883,0.1287,0.0096,1,N,corr,    2.3788,    0.4353,0.010794,Y,Y,0,,64.36708333333333,14.901055555555557,2.3788
8,3311934086075988864,210489127,64.46559686579155,15.227066463357511,14.246441,0.002,15.88909,0.01,13.003492,0.01,21.00398356796783,0.06439491917846847,  209,     ,04 17 51.6,+15 13 37.7,04175160+1513378,14.35,    0.25,0,3.5,det,3.6463,0.4932,0.0086,0,N,corr,    3.6508,    0.6701,0.005407,Y,N,0,,64.46499999999999,15.22713888888889,3.6508
14,46458115782368384,210579563,59.813187812165076,16.664310584059972,14.344322,0.002,16.08111,0.01,13.074967,0.01,23.876064586898945,0.08596949804080778,  111,     ,03 59 15.0,+16 39 51.9,03591499+1639520,14.52,    0.20,0,3.5,det,1.2774,0.7753,0.0091,0,N,corr,    1.2774,    0.7883,0.005336,Y,N,0,,59.8125,16.664416666666664,1.2774
19,3314079508140198528,210674406,66.07108444189181,18.002788452502564,9.645082,0.0003,10.221438,0.002,8.963739,0.002,21.403400079114224,0.0428075449678625,  288,20563,04 24 16.8,+18 00 10.7,04241691+1800107,9.77,    0.92,0,6.5,det,11.4703,0.5929,0.009,0,N,corr,   11.4703,    0.6378,0.004471,Y,Y,0,,66.07000000000001,18.002972222222223,11.4703
20,47715063730746880,210700098,64.64156503063818,18.364587906418375,14.62012,0.002,16.371695,0.01,13.345791,0.01,21.852025759473303,0.110437358297948,  220,     ,04 18 33.8,+18 21 52.9,04183382+1821529,13.84,    0.19,0,5.0,det,2.3381,0.8682,0.0088,0,N,corr,    2.3381,    0.8837,0.0095445,N,N,0,,64.64083333333333,18.364694444444446,2.3381
21,49968306654050944,210704853,58.98885223589192,18.43215065466959,13.017426,0.002,14.428411,0.01,11.858597,0.002,22.867298831383366,0.06463317278407117,   99,     ,03 55 57.1,+18 25 56.2,03555715+1825564,13.11,    0.37,0,5.0,det,22.7739,0.566,0.0091,1,Y,corr,   23.1244,    0.6160,0.006335,N,N,0,,58.987916666666656,18.432277777777777,23.1244
24,47881811540636800,210718930,65.98657141433695,18.638799059065416,15.481036,0.002,17.249626,0.2,14.19929,0.01,16.829109886495843,0.1008242091844383,  277,     ,04 23 56.6,+18 38 20.1,04235666+1838201,14.61,    0.17,0,6.0,det,2.421,0.1032,0.009,1,N,corr,    2.4191,    0.2939,0.0095385,N,N,0,,65.98583333333333,18.638916666666667,2.4191
26,47760521664503296,210736105,65.1155900171312,18.897060257449606,14.011936,0.002,15.58325,0.01,12.7943125,0.002,19.758942786237967,0.07109262800440837,  235,     ,04 20 27.6,+18 53 49.9,04202761+1853499,13.28,    0.23,0,2.0,det,19.7757,0.0611,0.0107,1,N,corr,   20.3105,    0.6707,0.0190685,Y,Y,0,,65.11499999999998,18.897194444444445,20.3105
29,50248991357476736,210742592,61.05385500499801,18.99561354890976,15.069968,0.002,16.853493,0.01,13.785378,0.01,18.721315967172078,0.10673722665471291,  128,     ,04 04 12.8,+18 59 44.5,04041279+1859445,15.29,    0.18,0,3.0,det,0.8037,0.3163,0.0086,0,N,corr,    0.8037,    0.3427,0.002513,Y,N,0,,61.05333333333333,18.995694444444446,0.8037
30,47247938791363200,210744677,61.58645642553272,19.027351706321276,14.523818,0.002,16.344997,0.01,13.236041,0.01,18.724926526539726,0.1037928124846333,  138,     ,04 06 20.6,+19 01 38.9,04062060+1901391,13.63,    0.22,0,2.5,det,0.4812,0.2485,0.009,1,N,corr,    0.4812,    0.5901,0.0081875,Y,N,0,,61.585833333333326,19.027472222222222,0.4812
31,47813500084423296,210744818,64.35531346502113,19.02977997098123,10.348603,0.0003,11.051074,0.002,9.570608,0.002,20.895614329070764,0.07681649216579398,  202,     ,04 17 25.1,+19 01 47.3,04172512+1901478,10.37,    0.68,0,4.0,det,12.8433,0.1407,0.0117,1,N,corr,   12.8433,    0.4578,0.003904,Y,N,0,,64.35458333333332,19.029805555555555,12.8433
32,50427387118457984,210769813,60.06549937966356,19.4100043509596,14.703896,0.002,16.441397,0.01,13.43553,0.01,20.800346737312672,0.08047651530683812,  116,     ,04 00 15.5,+19 24 36.5,04001556+1924367,13.91,    0.20,0,4.0,det,1.8626,0.897,0.009,0,N,corr,    1.8626,    0.9168,0.009951999999999999,N,N,0,,60.06458333333333,19.410138888888888,1.8626
33,50298125783225088,210771915,61.35751774012489,19.44201115852477,10.833858,0.0003,11.653789,0.002,9.98305,0.002,21.14350053934295,0.051652817968369236,  133,19082,04 05 25.6,+19 26 32.0,04052565+1926316,10.9,    0.94,1,4.0,raw,13.914,0.5326,0.0094,0,N,corr,   13.8499,    0.6036,0.004843999999999999,Y,N,1,N,61.35666666666666,19.442222222222224,13.8499
37,63395989328447232,210865372,55.94682289747211,20.859946975712486,13.336599,0.002,14.837266,0.01,12.140936,0.002,22.088883138361986,0.06410096313550968,   78,     ,03 43 47.0,+20 51 36.4,03434706+2051363,13.38,    0.32,0,2.5,det,12.3675,0.5442,0.0091,0,N,corr,   12.3168,    0.6320,0.014581,Y,N,0,,55.945833333333326,20.860111111111113,12.3168
38,51730755074345088,210894955,58.904847206953285,21.31314265930123,15.706417,0.002,18.088175,0.2,14.286435,0.01,34.68742594617263,0.13496177330064685,   98,     ,03 55 36.9,+21 18 48.1,03553690+2118482,14.59,    0.13,0,5.0,raw,38.0683,0.2157,0.009,1,N,sec ,    0.7257,    0.0902,0.0029935,Y,N,0,,58.903749999999995,21.31336111111111,0.7257
39,53257461329357312,210941195,59.809805370747746,22.04366757805516,12.076345,0.0003,13.277638,0.01,11.005822,0.002,24.63161047024897,0.05021229064593435,  109,     ,03 59 14.1,+22 02 37.8,03591417+2202380,13.36,    0.46,0,4.5,det,20.5888,0.3876,0.0092,1,M,corr,   20.7309,    0.6087,0.001973,Y,N,0,,59.80874999999999,22.043833333333335,20.7309
41,52798209065854848,210963067,63.19789539533917,22.390672743599097,14.386445,0.002,16.013325,0.01,12.95883,0.002,17.968213235732144,0.47967025722178525,  166,     ,04 12 47.3,+22 23 27.0,04124734+2223270,14.72,    0.24,0,2.0,det,1.8443,0.2541,0.0095,0,N,corr,    1.8443,    0.5698,0.0087525,Y,M,0,,63.19708333333333,22.390833333333333,1.8443
44,65502206932420224,211026112,59.86149966105374,23.385257124042287,14.676657,0.002,16.460695,0.01,13.397477,0.01,22.40821667959589,0.09822465466972688,  113,     ,03 59 26.6,+23 23 07.6,03592659+2323077,13.8,    0.19,0,5.0,det,1.3183,0.628,0.0096,0,N,corr,    1.3183,    0.6633,0.0045545,N,N,0,,59.860833333333325,23.385444444444445,1.3183
48,53942250914697472,211049709,62.151440472431105,23.768424735711847,9.189675,0.0003,9.671883,0.002,8.580086,0.002,21.04548296917407,0.05501344730493487,  148,     ,04 08 36.2,+23 46 07.0,04083620+2346071,10.27,    0.90,0,6.0,det,9.3908,0.9522,0.0102,0,N,corr,    9.3908,    0.9553,0.0099945,Y,Y,0,,62.15083333333333,23.76861111111111,9.3908
50,66895941000532736,211137806,58.17860423718143,25.207022562601956,16.261477,0.002,18.181225,0.2,14.930154,0.01,9.46179604132785,0.12794393081077482,   87,     ,03 52 42.7,+25 12 26.2,03524271+2512260,15.35,    0.13,0,3.0,det,14.3802,0.5712,0.0102,0,N,corr,   14.3802,    0.7170,0.014247,Y,N,0,,58.17791666666666,25.207277777777776,14.3802
51,67351757289092224,211169647,58.17154351467567,25.804215691891365,10.572748,0.0003,11.364372,0.002,9.732307,0.002,22.489759048612417,0.060383251845635734,   86,     ,03 52 41.0,+25 48 16.0,03524101+2548159,10.59,    0.66,0,6.5,det,14.6609,0.6264,0.01,0,M,corr,   14.6609,    0.6342,0.0035175,Y,Y,0,,58.17083333333333,25.804444444444446,14.6609
